wine_no,designation,winery
797,,Château La Branne
798,,Château Mayne Vieil
799,,Château Mille-Roses
800,,Chessman
801,Tawny Estate,Deerfield Ranch
802,Le Griottier,Domaine Franck Besson
803,Upright Klipsun Vineyard,Efeste
804,Lola Evergreen Vineyard,Efeste
805,,Firesteed
806,Small Lot,Iron Hub
807,Farrago,Kooyong
808,Le Vele,Moncaro
809,Parcela 23,Finca Constancia
810,,Aiken
811,Castell,Castell
812,Perli Vineyards,Donkey & Goat
813,Cuvee Juveniles,Torbreck
2009,,Pierre Sparr
815,Soleil,Finn Hill
816,Pre-Emption Vineyard,Keuka Spring
817,Block Selection Reserve Block N. 10,La Playa
818,Belle Grâce,Les Vins Aujoux
819,,Mont Gravet
820,Made With Organic Grapes,Navardia
821,Brut,Pata Negra
822,,Ridolfi
823,,Still Waters
824,,Stomping Ground
825,,Tenuta Poggio il Castellare
826,Ciampoleto,Tenuta San Giorgio
827,,Terrapura
828,K-libre,Clos Troteligotte
829,,Columbia Winery
830,,Domaine de Thulon
831,Roche Grès,Domaine du Haut-Poncié
832,Coeur de Vendanges,Domaine du Vissoux
833,,Dosio
3119,,Picket Fence
834,Reserva Estate Bottled,G7
835,Flower Label,Georges Duboeuf
836,Cinta Púrpura Brut Reserva,Juvé y Camps
837,Sweet Reserva,Juvé y Camps
838,Les Collines Vineyard,Kontos
839,Yellow Dog Vineyard,Lamoreaux Landing
840,,Laurent Gauthier
841,,Leaping Horse
842,,Manoir du Carra
843,Proprietor's Reserve,Maryhill
844,Bianco,Cottanera
845,Aquilae Bio,CVA Canicattì
846,Rosenberg,Domaine Barmès-Buecher
847,Galets Oligocène,Domaine Bott-Geyl
848,Clos de Jeu,Domaine Collotte
849,,Domaine Faiveley
850,Grèves Premier Cru,Domaine Jacques Prieur
851,Champ Salomon,Domaine René Bouvier
852,Grand A du Petit Léon,Domaine Roland Schmitt
853,Thanisch Kabinett,Dr. H. Thanisch (Erben Thanisch)
854,,Easton
855,Reserve,Edna Valley Vineyard
856,Taburno,Fattoria La Rivolta
857,,Fess Parker
858,,Firesteed
859,,Foretell
860,Erato De Portola Trail Vineyard,Gershon Bachus
861,Rosso,Graci
862,,Tornatore
863,Rio Vista Vineyard,West of Temperance
864,Trocken,Winzergenossenschaft Mayschoss-Altenahr
865,Laluci,Baglio del Cristo di Campobello
866,Handpicked Grenache,Beresford
867,Estate,Carabella
868,Gran Reserva,Carmen
869,Larner,Casa Dumetz
907,Bruto,Casa de Vilacetinho
870,Estate Bottled,Greenwood Ridge
871,,Herencia
872,,J. Scott Cellars
873,Dry,Chateau Dereszla
874,,Quinta do Vallado
875,,Roquette e Cazes
876,Idus,Vall Llach
877,Alfeo,Ceralti
878,,Château Bel-Air Ortet
879,,Château Ferrière
880,Sonoma Estate,Cline
881,Coraje,Fuentes
882,,Fuse
883,Campo al Fico,I Luoghi
884,Brut Rose,J Vineyards & Winery
885,,Kokomo
886,La Mère Grand,Loup Blanc
887,Reserva Branco,Maritávora
888,Slide Mountain Vineyard,Owen Roe
889,Red Label,Pacific Ridge
890,Estate,Phoenix Ranch
891,,2nd Chance
892,Stone Tree Vineyard Intuition Reserve,Bergevin Lane
893,Heavy Metal,Hungerford Hill
894,Castello di Montepò,Jacopo Biondi-Santi
895,Giuseppe Olivi Memento,Le Buche
896,Signature Selection,Leonesse Cellars
897,Dividend,Market Vineyards
898,,Marsiliana
899,Fonterutoli,Mazzei
900,Criança,Morlanda
901,Reserva Branco,Quinta do Vallado
902,Reserve Bingham Vineyard,Becker
903,,Bex
904,Pajè,Boffa
905,Super Nero,Brennan
906,Reddy Vineyard,Brennan
908,,Cascina Bruciata
909,,Castello di Neive
910,Grand Vin,Antucura
911,Samsó Seulle,Frédéric Brouca
912,Three Otters Pinot Noir,Fullerton
913,Asureti Valley,Gotsa Family Wines
914,Grand Reserve,Graffigna
915,Atração,Coelho
916,Renovação Estate Vineyards,Coelho
917,Bussia,Deltetto
918,Ginestra,Diego Conterno
919,Reserve,Domaine Bousquet
920,Breathing Space,Evans & Tate
921,Conde Vimioso Colheita Seleccionada Branco,Falua
922,Altosur,Finca Sophenia
923,,Fiuza
924,,Sidewood
925,Vin Doux Naturel,Terre Rouge
926,Roll Fermentor,Antonio Mas
927,Casal Garcia Rosé,Aveleda
928,,Battaglio
929,Estate,Bella Grace
930,Alberti 154,Bodega Calle
931,,Borgogno F.lli Serio e Battista
932,Tradition,Château les Petits Arnauds
933,,Château Mougneaux
934,Vieilles Vignes,Château Saintongey
935,Vieilles Vignes,Château Ségonzac
936,Ian's Reserve,Chehalem
937,Stoller Vineyards,Chehalem
938,II Crianza,Covila
939,Melange d'Amis Reserve,Cuda Ridge Wines
940,Grande Réserve Premier Cru Brut,Duménil
941,Goru Verde,Ego Bodegas
942,,Ektimo Vineyards
943,Crianza,Finca del Marquesado
944,Estate,Folin Cellars
945,Director's,Francis Coppola
946,Reserve Winston Hill Vineyard,Frank Family
947,Evel Tinto,Real Companhia Velha
948,Santos da Casa Tinto,Santos & Seixo
949,,Travaglini
950,,Vine Cliff
951,Rennie Vineyard Organic Grapes,Yorkville Cellars
952,XIC,Agustí Torelló Mata
953,i,Amalie Robert
954,Reserve Bottling,Archgate Cellars
955,Nirvasco,Bersano
956,Anni Venti Metodo Classico,Cantine di Marzo
957,Ritchie Vineyard,Carica
958,Wine Wings Garnacha,Ignacio Marín
959,Brut Mosaïque,Jacquart
960,,Château Cap Saint-Martin
961,,Château de Bel
962,Demoiselle Tête de Cuvée Brut,Vranken
963,,Château Pavillon de Boyrein
964,Argillaia,Fabiano
965,Vecchie Vigne,Vinosia
966,,Kono
967,Selected Terroir,Santa Ema
968,Chiaretto,Tommasi
969,Pionero,Morandé
970,,One Hope
971,Pop Rosé Extra Dry,Pommery
972,,Saddleback
973,Alexander School Reserve Big Barrel,Alexander Valley Vineyards
974,Rough House Red,Covington
975,P,Feudo Montoni
976,Summation Vintner's Reserve,Kendall-Jackson
977,Estate Grown,Ledgewood Creek
978,White X,X
979,Sauvignon,Château Lamothe-Vincent
980,Capitel della Crosara,Montresor
981,Premius Bordeaux Sauvignon,Yvon Mau
982,Col di Luna,Bellenda
983,,Breggo
984,Rosso di Valachia,Byzantium
985,Reserve Las Barrancas Vineyards,Pascual Toso
986,Late Bottled Vintage,Quinta de la Rosa
987,,Sieber Rd
988,,Lachini
989,,Mauro
990,,Dancing Bull
991,Les Mirlandes,Domaine de Mirail
992,Grande Tradition,Domaine des Terrisses
993,,Domaine du Tariquet
994,Les Belles Vignes,Fournier Père et Fils
995,Edèlmio,Benanti
996,Terre di Giumara,Caruso & Minini
997,Patchwork,Yalumba
998,,The Four Graces
999,,Amity
1000,,Arcane Cellars
1001,Il Monovitigno,Benanti
38468,,Arrowood
1002,First Class,Benton-Lane
1003,Vieilles Vignes,Château Puy-Servain
1004,Marjolaine,Château Puy-Servain
1005,,Domaine Philippe Portier
1006,,Expression 44°
1007,Les Caillottes,Fournier Père et Fils
1008,,Nick Faldo
1009,Gran Reserva,Tarapaca
1010,Black Family Estate,The Four Graces
1011,,Hunt Country Vineyards
1012,Pietralava,Antichi Vinai 1877
1013,Cembali,Baglio di Pianetto
1014,Forty Two,Brecon Estate
1015,Profonde Winemaker's Reserve,Callaway
1016,Gradiva Collectio,Casa di Grazia
1017,Zahara,Casa di Grazia
1018,Vieilles Vignes,Ruhlmann
1019,Elivette,Spring Mountain Vineyard
1020,,Stanton Vineyard
1021,Reserva,Terrazas de Los Andes
1022,Cubia Tenuta Ficuzza,Cusumano
1023,Alma Semillon-Viognier-Pinot Gris,Dalton
1024,Pfleck,Domaine Barmès-Buecher
1025,Vogelzang,Dragonette
1026,,Firesteed
1027,Estate,Folin Cellars
1028,,Gaba do Xil
1029,,Gorka Izagirre
1030,Miljenko's Selection,Grgich Hills
1031,Crianza,Linaje Garsea
1032,,Omaka Springs
1033,,Ventana
1034,Clos de la Tourelle Château Ollwiller,Vieil Armand
1035,Aquilae,Viticultori Associati Canicatti
1036,Salisire Bianco,Vivera
1037,Spofford Station,WildAire
1038,Gimblett Gravels Reserve,Mills Reef
1039,,Pazo Torrado
1040,Clásico,Sur de los Andes
1041,The Patriarch Premium,Babich
1042,Crianza,Rentas de Fincas
1043,Vesper,Setzer
1044,Rive Alte,Tenuta Luisa
1045,,Honeywood Winery
1046,Bianco degli Arzillari,I Clivi
1047,,Irony
1048,,Kedar's K'orus
1049,,Kedar's K'orus
1050,,Little Black Dress
1051,Señor da Folla Verde,Marqués de Vizhoja
1052,,Estancia
1053,Reserva,Finca La Emperatriz
1054,,Vinai dell'Abbate
1055,Sandgrube 13 Chremisa,Winzer Krems
1056,Veltlinsky,Graf Hardegg
1057,El Delirio Reserve Syrah-Malbec,Botalcura
1058,,Bridgeway
1059,La Piazza,Calatrasi
1060,,Château Bélingard
1061,Rosé,Clos Teddi
1062,,Colutta
1063,,Ormonde
1064,Evoè,Principe di Corleone
1065,Quinta do Seixo Vintage,Sandeman
1066,Old Vine Reserve,Scott Harvey
1067,,Sea Slopes
1068,Family Reserve MMXIV,Trisaetum
1069,Bergström Vineyard,Bergström
1070,Shea Vineyard,Bergström
1071,Castelletto,Mauro Veglio
1072,Símbolo,Poças
1073,Vintage,Quinta do Vesuvio
1123,Dessert Wine Estate Wilridge Vineyard,Wilridge
1074,Moorooroo,Schild Estate
1075,Red Shoulder Ranch,Shafer
1076,En Grands Champs,Alphonse Mellot
1077,Ascheri,Ascheri
1078,Old Stones,Bergström
1079,Elusive Queen,Big Table Farm
1080,Ribbon Ridge Estate,Trisaetum
1081,Wichmann Dundee Estate,Trisaetum
1082,The Tribe Vineyard,Horsepower
1083,,J. Davies
1084,La Coulée du Méridien,Château de Parnay
1085,Perspective Estate,Tres Sabores
1086,Coast Range Dry,Trisaetum
1087,Terra De Promissio Vineyard,Williams Selyem
1088,Cailloux Vineyard,Cayuse
1163,Cuvée Oro Dry,Carpenè Malvolti
1089,,Chappellet
1090,Quinta da Gricha Vintage,Churchill's
1091,Emmaline Ann Vineyard,Cobb
1092,Old Vines,Dion
1093,Anthocyane,Domaine Bernard Fleuriet et Fils
1094,Zéphirine,Drouhin Oregon Roserock
1095,,Robert Mondavi
1096,Millantu,Santa Alicia
1097,StevensSweets Late Harvest,Stevens
1098,,Rutherford Ranch
1099,Caverio,Sextant
1100,Éclat Vigno Old Vine Blend,Valdivieso
1101,Wahre Werte Beerenauslese,Weixelbaum
1102,Charles Heintz Vineyard,Landmark
1103,,Mercer
1104,Les Piliers,Michel Gassier
1105,,Nada Fiorenzo
1106,Outcast,Barrage Cellars
1107,California Series,Berryessa Gap
1108,Le Cigare Volant,Bonny Doon
1109,Sant'Ercolano,Carpineto
1110,Antiguos Viñedos,Casajús
1111,Reserva Brut Nature,Castellroig
1112,Les Cimels,Château d'Or et de Gueules
1113,Horse Heaven Vineyard,Chateau Ste. Michelle
1114,,Citille di Sopra
1115,Reserva,Condado de Oriza
1116,,Cookies & Cream
1117,Reserve,Daou
1118,,Dei
1119,Quadrille,Domaine de Gensac
1120,Brut,Domaine Rolet Père et Fils
1121,Noces de Feu,Domaine Rotier
1122,Zero Degree Dry,Three Brothers
1124,Vintage Estate Dessert Wine Wilridge Vineyard,Wilridge
1125,Estate Grown,Belden Barns
1126,,Château du Retout
1127,,Château la Gravette Lacombe
1128,,Château Méric
1129,Reserva,Apaltagua
1130,You be the judge!,In Re
1131,,Chasing Venus
1132,,Château les Joyeuses
1133,,Château Monfort Bellevue
1134,,Château Vrai Caillou
1135,Reserva Casillero del Diablo,Concha y Toro
1136,,Experience
1137,,Cantine Grasso
1138,Frà,Grifalco
1139,Las Viñas del Señor,Madrigal
1140,Proprietor's Special Reserve,Millbrook
1141,Medalla Real Gran Reserva,Santa Rita
1142,,Scotto Family Cellars
1143,Sacrlet's Flirtation,Spicy Vines
1144,,Kirkland Signature
1145,La Tour du Gouverneur,Les Vignerons Réunis de Monségur
1146,,Nugnes
1147,,Barnard Griffin
1148,Caporosso,Cantine Grasso
1149,,Château les Lattes
1150,Reserva Casillero del Diablo,Concha y Toro
1151,Meleau White Specialty Wine,Ports of New York
1152,Narcissa Red,Whitman Cellars
1153,Steierische Klassik,Winkler-Hermaden
1154,Old Vine,Fire Block
1155,White Fox,Palivou
1156,Rohrendorfer Leithen Alte Reben,Felsner
1157,L'Anima,Gemella
1158,,Gunter Triebaumer
1159,Spätlese,Gunter Triebaumer
1160,Ambelonas at Agios Pavlos,Tsantali
1161,Desiderio Jeio Brut,Bisol
1162,Extra Dry,Carmina
1164,Servo Suo Dry Vendemmia Tardiva,Col Saliz
1165,,Ghost Pines
1166,Estate,Wellington
1167,Special Cuvée Brut,Zonin
1168,Cedarosa,Lost River
1169,Millesimato Extra Brut,Toffoli
1170,Broquel,Trapiche
1171,Niersteiner Bergkirche Kabinett,Louis Guntrum
1172,Durell Vineyard,Pali
1173,Nugent Vineyard,Robert Stemmler
1174,Trumpeter,Rutini
1175,Koenigsegg Velt. 1,Schloss Halbturn
1176,Col del Sas Extra Dry,Spagnol
1177,Lua Cheia em Vinhas Velhas,Wines & Winemakers
1178,Reserve Estate Grown,Zolo
1179,La Burgondie Rosé Brut,Bailly-Lapierre
1180,,Balo
1181,Montersino,Bel Colle
1182,Beacon Hill,Beresford
1183,Margheria,Boasso
1184,I Tre Pais,Broccardo
1185,Herdade dos Machados Reserva,Casa Agricola Santos Jorge
1186,,Cave des Vignerons de Buxy
1187,,Chamlija
1188,,Château de Fuissé
1189,,Château de Santenay
1190,,Chime
1191,Vers Cras,Christophe Cordier
1192,Aramis Rouge Tannat-Syrah,Famille Laplace
1193,,Finca Lalande
1194,Appellation Gualtallary,Altos Las Hormigas
1195,Calcura,Antucura
1196,,Aubichon Cellars
1197,Serragrilli,Battaglio
1198,B Minor,Ben Haines
1199,Beacon Hill,Beresford
1200,Original,Blue Fish
1201,,Bouchard Père & Fils
1202,,Brennan
1203,California Series,Cambridge & Sunset
1204,Cascas Winemaker Selection,Casca Wines
1205,Rocche di Castelletto,Cascina Chicco
1206,Apreciação Estate Vineyard,Coelho
1207,Bussia Dardi Le Rose,Poderi Colla
1208,Reserva,Quinta da Foz
1209,Estate Bottled Brut,Roederer Estate
1210,Reserve,St. Francis
1211,Vermejo Deux Chevaux Vineyard,Tamber Bey
1212,Dierberg,Tantara
1213,,Westerly
1214,Dry Stack Vineyard,Aesthete
1215,Quinta dos Quatros Ventos,Bacalhôa Wines of Portugal
1216,Paradise City,Barton
1217,Piano Alto,Bava
1218,Villa Bucci Riserva,Bucci
1234,,Bien Nacido
1219,Fauve Thompson Vineyard,Central Coast Group Project
1220,,Château Tour Grand Faurie
1221,Pommard Clone,Fess Parker
1222,,Hecho por Ruben
1223,Rainbow Cuvée,Iron Horse
1224,Marquês de Borba Reserva,J. Portugal Ramos
1225,,Judd's Hill
1226,Rochioli Vineyard,Longboard
1227,Points West,Piro
1228,Reserve,Point & Line
1229,Crooked Vines Colheita,Secret Spot Wines
1230,La Encantada,Tantara
1231,Vasthoudend,White Hart Wine
1232,,Artesa
1233,Sexton Hill Vineyard Estate Grown Estate Bottled,Balletto
1273,,La Merika
1235,Toro de Paso,Bodega de Edgar
1236,West Point,Cambria
1237,Geografico,Agricoltori del Chianti Geografico
1238,Jacques Sans Souci,Barrière Frères
1239,Riserva,Castellare di Castellina
1240,,Château la Grande Barthe
1241,,Chateau Ste. Michelle
1242,Limestone Hill,Danie de Wet
1243,Buntsandstein Weisser Burgunder Kabinett Trocken,Dr. Wehrheim
1244,Mountainside Vineyards Proprietary Red Wine,Erba
1245,Noble Late Harvest,Mulderbosch
1246,,Provenance Vineyards
1247,,Rietvallei Estate Wine
1248,Goose Ridge Estate Vineyard Meritage Red Wine,Sol Duc
1249,HVH Red Blend,Horan Estates
1250,Riserva,Lamole di Lamole
1251,X-treme,Leo
1252,,Villa Wolf
1253,,Washington Hills
1254,Summit Reserve,Washington Hills
1255,,Guardian Peak
1256,,Bell
1257,Lot 93,Cameron Hughes
1258,Vigna La Casa,Caparzo
1259,,Venta Morales
1260,Santagostino Baglio Sorìa,Firriato
1261,I Versi,Fondo Antico
1262,,Hannah Nicole Vineyards
1263,,Hosmer
1264,Siebert Ranch,Ancient Oak Cellars
1265,Classic,Barkan
1266,Arcturos,Black Star Farms
1267,The Franc,Cosentino
1268,,Cusumano
1269,,Lusco
1270,,Markham
1271,Earthquake,Michael David
1272,Pithoi,Maggiovini
1274,Haermosa,Masseria del Feudo Grottarossa
1275,,Napa Family Vineyards
1276,Estate Grown,Petroni
1277,Estate Grown,Petroni
1278,,Resonata
1279,Praia,Aveleda
1280,Mesta,Bodegas Fontana
1281,Miros de Ribera Crianza,Bodegas Peñafiel
1282,,Brotherhood
1283,Terrale Oro,Calatrasi
1284,L'Aurore,Cave de Lugny
1285,,Dashwood
1286,,Feudi di San Gregorio
1287,,Ghost Waltz
1288,St. Magdalener Classico,Griesbauerhof
1289,Niersteiner Auflangen Spätlese,Gustav Adolf Schmitt
1290,Sanct Valentin,Cantina Produttori San Michele Appiano
1291,,Cantina Terlano
1292,,Cembra
1293,,Cliff Lede
1347,Le Pitre,Villa Mottura
1294,Serras del Priorat,Clos Figueras
1295,,Consilience
1296,La Louvetrie Sur Lie,Domaines Landron
1297,Tradizionale Blanc de Morgex et de La Salle,Cave du Vin Blanc de Morgex et de la Salle
1298,Estate Grown,Cedar Creek
1299,Cornell Villa Nigra,Colterenzio
1300,,Demetria
1301,,Domaine de l'Ermitage
1302,,Domaine de Rome
1303,Hochheimer Hölle Kabinett Trocken,Domdechant Werner
1304,Ockfener Bockstein Kabinett,Dr. Fischer
1305,Cream,Osborne
1306,Chateldon Reserva,Pinord
1307,Holstein Vineyard,Purple Hands
1308,Torre de Menagem Escolha,Quintas de Melgaço
1309,Monte Rosso Vineyard,Rosenblum
1310,Reflections of Still Waters,Still Waters
1311,Stuhlmuller Vineyards Reserve,Summers
1312,I Vigneti,Tenuta Peter Sölva & Söhne
1313,,Terra Valentine
1314,Linticlarus Riserva,Tiefenbrunner
1315,,Tramin
1316,,Vesevo
1317,Estate,Viszlay Vineyards
1318,Winemaker's Reserve Estate,Viszlay Vineyards
1319,Single Vineyard,Yealands
1320,,Zahel
1321,Brut Natural Reserva,Albet I Noya
1322,Strassertaler,Allram
1323,Privat Gran Reserva Brut Nature,Alta Alella
1324,Ampelos Vineyard,Ampelos
1325,Mayhem,Ascencion
1326,Blanco Fermentado en Barrica,Baigorri
1327,Bannockburn,Carrick
1328,Scarlett,Challen
1329,,Château Coutinel
1330,,Château Grand Boise
1331,,Château le Payral
1332,,Clos Fardet
1333,,Crux
1334,Little Lotus Flower,Damiani
1335,Dry,Damiani
1336,Throne,Davis Family
1337,,Di Meo
1338,Oser,Domaine Clos Gautier
1339,,Domaine Harmonie des Arpents
1340,Paparazzi,Domaine Sainte-Marie
1341,Terrassen Federspiel,Domäne Wachau
1342,,Doren
1343,Rendition,Écluse
1344,della Timpa,Feudo Montoni
1345,,Grizzly Peak
1346,,Tilia
1348,,14 Hands
1349,,Barraco
1350,Preta,Capolino Perlingieri
1351,,Château Bois Noir
1352,,Château du Moulin Rouge
1353,,Chateau le Grand Verdus
1354,,Dark Hundred
1355,Cutthroat Red,Flying Trout
1356,Château Grand Martinet,Horeau-Beylot
1357,Santa Cruz de Artazu,Bodegas Artazu
1358,Tinto,Burgo Viejo
1359,Goldie's Vineyard,Toad Hollow
1360,,Penumbra
1361,,Stemmari
1362,Côtes de Tablas Blanc,Tablas Creek
1363,Sangue Blu,Torre Quarto
1364,,Château de Ferrand
1365,Magali,Saint André de Figuière
1366,Reserve,Santa Alicia
1367,,Château d'Esclans
1369,Mamàn,Banear
1370,,Bonterra
1371,,Chaddsford
1372,Vigneto Vigne dai Vieris,Di Lenardo
1373,Reserve,Lava Cap
1374,,Lavender Ridge
1375,Rosé du Mas,Mas de la Dame
1376,Terra d'Oro,Montevina
1377,Cister da Ribeira,Quinta de Ventozelo
1378,Cs,Substance
1379,La Stèle Rouge,Mas de la Dame
1380,Rosado,Stevenot
1381,Tumbas Vineyard,Stonehouse
1382,Vineyard Reserve,TerraMater
1383,Silvaspoons Vineyard,Fenestra
1384,,Renato Keber
1385,Essence,S.A. Prüm
1386,,Schmidt
1387,,Tercic
1388,,August Truth
1389,,Terre Brûlée
1390,,Delaire Graff
1391,,Abbazia di Novacella
1392,Hicks Family Vineyard,Apriori
1393,Rosé of,Bernat
1394,Reserva,Bodega Norton
1395,Bacchus Collection Estate Vineyard,Bouchaine
1396,Estate Grown,Brys
1397,Late Bottled Vintage,Bulas
1398,Kaseler Dominikaner,C. von Nell-Breuning
1399,,Caldaro
1400,Somontes Colheita,Casa da Passarella
1401,Reserve,Chateau Grand Traverse
1402,Puiten,Colterenzio
1403,Tannenberg,Manincor
1404,,Mario Schiopetto
1405,The Tower,Martin Ray
1406,Old Head,Matchbook
1407,,Nals Margreid
1408,,Nals Margreid
1409,,Paratus
1410,Platinum,Peter Mertes
1411,,Quinta do Vallado
1412,10 Anos Old Tawny,Quinta dos Murças
1413,,Replica
1414,,Domaine de l'Hermitage
1415,Cuvée Théo,Domaine Weinbach
1416,Spiegel Grand Cru,Domaines Schlumberger
1417,Somers Ranch,Dry Creek Vineyard
1418,XVI,Dunham
1419,Ciel du Cheval Vineyard Reserve,Tamarack Cellars
1420,,Tamarack Cellars
1421,Vendanges Tardives,Trimbach
1422,Reserve,Krutzler
1469,Three Twins Vineyard,Stone The Crows
1423,SOMA,Marita's Vineyard
1424,,Pamplin
1425,,Prieler
1426,Steinert Grand Cru,Rieflé
1427,Zinnkoepflé Grand Cru Vendanges Tardives,Rieflé
1428,Collinetta Vineyard,Rocca
1429,Columbia Rediviva Phinny Hill Vineyard,Buty
1430,Silver,Caldwell
1431,Stoneridge Vineyard,Charles Smith
1432,Terre des Anges,Château Paradis
1433,,Château Salettes
1434,Paul Sauer,Kanonkop
1435,Bello Rosso,Walla Walla Vintners
1436,Sagemoor Vineyard,Walla Walla Vintners
1437,,Domaine de Val d'Arenc
1438,Achleiten Smaragd,Domäne Wachau
1439,Upright Klipsun Vineyard,Efeste
1440,PreVail Back Forty,Ferrari-Carano
1441,'P',Fritsch
1442,Pannobile,Judith Beck
1443,Authenticity,Epoch Estate Wines
1444,Limited Release,Z. Alexander Brown
1445,Château Bouscassé,Alain Brumont
1446,La Maltroie Premier Cru,Alex Gambal
1447,Abandonado,Alves de Sousa
1448,The Derivative,Carlisle
1449,Cuvée des Cadettes,Château La Nerthe
1450,Aux Thorey Premier Cru,David Duband
1451,Les Sentiers Premier Cru,David Duband
1452,Fornace,Le Ragnaie
1453,Clos des Ursules Premier Cru,Louis Jadot
1523,Reserve,Rex Hill
1454,Campolongo di Torbe,Masi
1455,Ingenuity,Epoch Estate Wines
1456,Cabernet Bosché,Freemark Abbey
1457,Brauneberg Juffer Sonnenuhr Trocken GG,Fritz Haag
1458,Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre,Georges Vigouroux
1459,Cliff Hanger,Grimm's Bluff
1460,Morei,Foradori
1461,Estate Grown,Joseph Phelps
1462,,Le Ragnaie
1463,Les Boudots Premier Cru,Louis Jadot
1464,,Mesa Del Sol
1465,Ponte das Canas,Mouchão
1466,Fortis,Pine Ridge
1467,Bien Nacido Vineyard,Sandler
1468,,Sixteen by Twenty
3197,,Sean Minor
1470,Hollister Edna Ranch,Tolosa
1471,Riserva,Villa Poggio Salvi
1472,Sievers Reserve,Volker Eisele Family Estate
1473,Reserva,TerraNoble
1474,Riserva,Terre de Trinci
1475,Pinot Grigio,Mosolo Gleni
1476,,Arbor Crest
1477,Reserve,Aresti
1478,Yellow Label,Wolf Blass
1479,Reserva,Chilensis
1480,Los Vascos,Domaines Barons de Rothschild (Lafite)
1481,Valley Oaks,Fetzer
1482,Altosur,Finca Sophenia
1483,Fournier,Fournier Père et Fils
1484,Arona,Barker's Marque
1485,Bancroft Ranch Vineyard,Beringer
14730,,Benziger
1486,Cuvée Barrique,Bock
1487,Reserve,Carneros Creek
1488,,Casale Triocco
1489,,Castello di Monastero
1490,,Konrad
1491,Pinot Grigio,Lungarotti
1492,,Mana
1493,Coleccion,Michel Torino
1494,Vintage Port,Robert Hall
1495,Trompettes,Rubissow
1496,Organica,Santa Julia
1497,,Santa Julia
1498,,Ronco Blanchis
